,Timestamp,outdoor air temperature (F),humidity,windspeed,cloudcover,solar irradiance on PV panels (Watt per m^2),building total power consumption (Watts),freezer power consumption (Watts),refrigerator power consumption (Watts),refrigerator fan power consumption (Watts),west air conditioning power consumption (Watts),east air conditioning power consumption (Watts),total power consumption (Watts),Better Timestamp,date,time,month,12-hr-time
0,2021-01-01 00:00:00,43.56,98.0,2.87,0.37,0.0,32533.33203125,4083.5400390625,11.914491653442385,43.35405731201172,304.0498962402344,944.9304809570312,37921.12099647522,2021-01-01 00:00:00,2021-01-01,00:00:00,1,12:00am
1,2021-01-01 00:15:00,43.41,98.0,2.93,0.38,0.0,30975.056640625,3969.49560546875,14.195987701416016,43.11069869995117,304.5583190917969,958.4401245117188,36264.85737609863,2021-01-01 00:15:00,2021-01-01,00:15:00,1,12:15am
2,2021-01-01 00:30:00,43.28,98.0,2.98,0.41,0.0,31915.005859375,3835.8916015625,12.848112106323242,253.1759490966797,304.9664611816406,1015.0863647460938,37336.97434806824,2021-01-01 00:30:00,2021-01-01,00:30:00,1,12:30am
3,2021-01-01 00:45:00,43.35,98.0,3.0,0.44,0.0,30087.2578125,357.42486572265625,10.164384841918944,43.09391021728516,302.5465393066406,957.8939208984376,31758.38143348694,2021-01-01 00:45:00,2021-01-01,00:45:00,1,12:45am
4,2021-01-01 01:00:00,43.47,98.0,2.97,0.5,0.0,29074.365234375,3796.636474609375,9.275863647460938,42.85894393920898,,,,2021-01-01 01:00:00,2021-01-01,01:00:00,1,01:00am
5,2021-01-01 01:15:00,43.55,97.0,3.03,0.5,0.0,29018.046875,3795.35595703125,8.366313934326172,42.97013854980469,303.7441101074219,944.6126708984376,34113.09606552124,2021-01-01 01:15:00,2021-01-01,01:15:00,1,01:15am
6,2021-01-01 01:30:00,43.69,96.0,3.07,0.5,0.0,29639.11328125,3773.5107421875,7.154372215270996,42.72467803955078,303.2651672363281,958.9942626953124,34724.76250362396,2021-01-01 01:30:00,2021-01-01,01:30:00,1,01:30am
7,2021-01-01 01:45:00,44.68,93.0,3.47,0.43,0.0,,,7.018444061279297,43.10650634765625,,,,2021-01-01 01:45:00,2021-01-01,01:45:00,1,01:45am
8,2021-01-01 02:00:00,44.52,92.0,3.78,0.38,0.0,31686.845703125,3799.642822265625,11.046810150146484,251.64236450195312,303.7710266113281,955.2607421875,37008.20946884155,2021-01-01 02:00:00,2021-01-01,02:00:00,1,02:00am
9,2021-01-01 02:15:00,44.67,91.0,3.88,0.38,0.0,28488.451171875,3784.65087890625,9.297599792480469,42.99321365356445,303.79656982421875,971.8220825195312,33601.011516571045,2021-01-01 02:15:00,2021-01-01,02:15:00,1,02:15am
10,2021-01-01 02:30:00,44.79,90.0,4.01,0.39,0.0,,,,,,1018.92236328125,,2021-01-01 02:30:00,2021-01-01,02:30:00,1,02:30am
11,2021-01-01 02:45:00,44.83,89.0,3.98,0.4,0.0,32100.677734375,3780.033935546875,12.589340209960938,456.71240234375,303.1042175292969,958.7423095703124,37611.859939575195,2021-01-01 02:45:00,2021-01-01,02:45:00,1,02:45am
12,2021-01-01 03:00:00,44.9,89.0,4.11,0.42,0.0,29232.30078125,3857.935791015625,12.356603622436523,252.8822479248047,303.0464782714844,1017.5901489257812,34676.11205101013,2021-01-01 03:00:00,2021-01-01,03:00:00,1,03:00am
13,2021-01-01 03:15:00,44.62,89.0,4.4,0.43,0.0,34801.52734375,3789.4248046875,,,303.18731689453125,959.9517211914062,,2021-01-01 03:15:00,2021-01-01,03:15:00,1,03:15am
14,2021-01-01 03:30:00,44.67,89.0,4.51,0.45,0.0,27924.908203125,357.1806030273437,13.699716567993164,458.2522888183594,302.4278259277344,965.0438842773438,30021.512521743774,2021-01-01 03:30:00,2021-01-01,03:30:00,1,03:30am
15,2021-01-01 03:45:00,44.74,88.0,4.65,0.47,0.0,30406.603515625,3782.07373046875,15.026597023010254,460.4299926757813,304.61932373046875,959.8375854492188,35928.59074497223,2021-01-01 03:45:00,2021-01-01,03:45:00,1,03:45am
16,2021-01-01 04:00:00,44.73,88.0,4.76,0.51,0.0,36363.1796875,3773.748046875,4287.48828125,466.1070251464844,305.2749328613281,1024.21484375,46220.01281738281,2021-01-01 04:00:00,2021-01-01,04:00:00,1,04:00am
17,2021-01-01 04:15:00,44.79,88.0,4.69,0.56,0.0,30801.61328125,3765.548828125,13.89712905883789,255.8088836669922,304.2588806152344,961.6815185546876,36102.80852127075,2021-01-01 04:15:00,2021-01-01,04:15:00,1,04:15am
18,2021-01-01 04:30:00,44.71,88.0,4.82,0.62,0.0,32318.392578125,3752.1279296875,12.17791748046875,463.7677612304688,,,,2021-01-01 04:30:00,2021-01-01,04:30:00,1,04:30am
19,2021-01-01 04:45:00,44.3,89.0,4.97,0.68,0.0,26464.3125,357.4174194335937,7.025975227355957,250.2891845703125,303.6715087890625,965.5869750976562,28348.30356311798,2021-01-01 04:45:00,2021-01-01,04:45:00,1,04:45am
20,2021-01-01 05:00:00,43.73,90.0,4.87,0.65,0.0,25071.693359375,363.0521240234375,9.348580360412598,42.67642211914063,303.9527893066406,1016.9830322265624,26807.706307411194,2021-01-01 05:00:00,2021-01-01,05:00:00,1,05:00am
21,2021-01-01 05:15:00,43.61,90.0,4.89,0.69,0.0,,,11.833525657653809,42.44774627685547,,,,2021-01-01 05:15:00,2021-01-01,05:15:00,1,05:15am
22,2021-01-01 05:30:00,43.46,90.0,4.89,0.7,0.0,31948.421875,3772.1328125,11.366199493408203,42.59040832519531,304.6827087402344,1017.6786499023438,37096.87265396118,2021-01-01 05:30:00,2021-01-01,05:30:00,1,05:30am
23,2021-01-01 05:45:00,43.07,91.0,4.82,0.62,0.0,34506.59765625,3199.46142578125,4286.71728515625,460.8746948242188,304.23291015625,962.968505859375,43720.852478027344,2021-01-01 05:45:00,2021-01-01,05:45:00,1,05:45am
24,2021-01-01 06:00:00,43.05,91.0,4.64,0.65,0.0,,,,,,1020.2708129882812,,2021-01-01 06:00:00,2021-01-01,06:00:00,1,06:00am
25,2021-01-01 06:15:00,43.06,91.0,4.86,0.68,0.0,29671.828125,3960.88818359375,12.634973526000977,42.74565887451172,302.3421325683594,954.4392700195312,34944.87834358215,2021-01-01 06:15:00,2021-01-01,06:15:00,1,06:15am
26,2021-01-01 06:30:00,43.12,91.0,5.19,0.71,0.0,30395.52734375,3864.834716796875,15.049179077148438,42.5967025756836,303.6217956542969,957.5194091796876,35579.14914703369,2021-01-01 06:30:00,2021-01-01,06:30:00,1,06:30am
27,2021-01-01 06:45:00,43.29,91.0,5.44,0.73,0.0,30379.275390625,,,,303.542724609375,1009.2777099609376,,2021-01-01 06:45:00,2021-01-01,06:45:00,1,06:45am
28,2021-01-01 07:00:00,43.56,90.0,5.46,0.76,0.0,29377.361328125,2571.251708984375,6.885951519012451,58.0732536315918,303.5092163085937,958.2560424804688,33275.33750104904,2021-01-01 07:00:00,2021-01-01,07:00:00,1,07:00am
29,2021-01-01 07:15:00,43.77,90.0,5.58,0.78,0.0,29841.5625,3796.44970703125,9.381068229675291,42.9449577331543,303.059326171875,1011.182373046875,35004.57993221283,2021-01-01 07:15:00,2021-01-01,07:15:00,1,07:15am
30,2021-01-01 07:30:00,44.03,90.0,5.67,0.79,0.0,27592.81640625,351.6539611816406,12.387273788452148,455.6990661621094,303.6485290527344,959.743408203125,29675.94864463806,2021-01-01 07:30:00,2021-01-01,07:30:00,1,07:30am
