Year,Consumption
2000,98701.317
2001,96069.889
2002,97530.361
2003,97836.048
2004,100008.012
2005,100101.939
2006,99392.198
2007,100894.43
2008,98753.789
2009,93943.009
2010,97507.361
2011,96864.617
2012,94384.343
2013,97131.291
2014,98291.857
2015,97405.279
2016,97388.097
2017,97659.441
2018,101241.868
2019,100464.812
2020,92977.781
2021,97333.039
